,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2,1,1,12 post(s) to this thread,0.5442798175,,,,es
1,on_p50,2,1,2,UAE(دمشق): حزب الله ينشر معلومات استخباراتية هامة بشأن ما حصل في القدس,0.5442798175,,,,es
2,on_p50,2,1,3,いつもお世話になっております。はーい。,0.5442798175,,,,es
3,on_p50,2,1,4,"“I have to admit,” she said, “I have never been to a wedding in my life. I don’t know where to start. I’ve already spent a fortune having a huge reception, and now I’m getting married in August. What should I do”",0.5442798175,,,,es
4,on_p50,2,1,5,,0.5442798175,,,,es
5,on_p50,2,1,6,"A one-time investment was not a fair pricing analysis,"" said Anamaria Tovar, Founding Partner at Maitland Capital Partners.",0.5442798175,,,,es
6,on_p50,2,1,7,,0.5442798175,,,,es
7,on_p50,2,1,8,2ch-japan.org - 1 ページ目 - 日本語変換マニュアル - 々と日本語を変換する 々と日本語を変換する,0.5442798175,,,,es
8,on_p50,2,1,9,We're Looking For...,0.5442798175,,,,es
9,on_p50,2,1,10,,0.5442798175,,,,es
10,on_p50,2,1,11,Next articleRober Dixon: “I Came from a Gang War”,0.5442798175,,,,es
11,on_p50,2,1,12,"Труп, который был найден на территории одного из домов на улице Восточной в Москве, представлял собой живую уродливую личность.",0.5442798175,,,,es
12,on_p50,2,1,13,,0.5442798175,,,,es
13,on_p50,2,1,14,引用するにはまずログインしてください,0.5442798175,,,,es
14,on_p50,2,1,15,Male Nachfreude-Bänder/Bänder/Ring/Ring/Flip verschluss Bling Schmuck Bling Farbe/Glossy/Glitter/Bling Farbe/Metallic/Bling Farbe/Luxury/Bling Farbe/Glänzend/Bling Farbe/Ro,0.5442798175,,,,es
15,on_p50,2,1,16,008453 - Account Manager (m/w/d) - BMW in Munich,0.5442798175,,,,es
16,on_p50,2,1,17,ธุรกิจโฆษณาออนไลน์ มีวิธีวางแผนการตลาดอย่างไรดี,0.5442798175,,,,es
17,on_p50,2,1,18,日足ドル円相場 に重要なポイントを挙げていきます。,0.5442798175,,,,es
18,on_p50,2,1,19,0 สมาชิก และ 1 บุคคลทั่วไป กําลังดูหัวข้อนี้,0.5442798175,,,,es
19,on_p50,2,1,20,"in-person training, webinars, and a variety of online resources.",0.5442798175,,,,es
20,on_p50,2,1,21,もっとも、何回も何度も繰り返し読むという人にとっては、情報自体が少ないです。,0.5442798175,,,,es
21,on_p50,2,1,22,ดูหนังr เกาหลี2016 ดูหนังrเกาหลีเต็มเรื่อง ดูหนังอาร์ 18+,0.5442798175,,,,es
22,on_p50,2,1,23,У вас есть приобретение в интернете?,0.5442798175,,,,es
23,on_p50,2,1,24,"11 best Taxis images on Pinterest _ Speakers, Public places and American",0.5442798175,,,,es
24,on_p50,2,1,25,Glass Top Dining Table With Extending Leaf,0.5442798175,,,,es
25,on_p50,2,1,26,"Es tracta d'una associació que té la voluntat de donar a conèixer i mantenir viva l'essència del Mediterrani, i promoure una major col·laboració entre aquests països i els seus ciutadans, a través de la valorització i divulgació d'una cultura, un patrimoni i una gastronomia",0.5442798175,,,,es
26,on_p50,2,1,27,"Ευχαριστώ πολύ για την επίσκεψη σας, Νατάσα! Και μένα μου άρεσε πολύ η ιστορία σου μιλώντας για ότι μας κάνει ευτυχισμένους!",0.5442798175,,,,es
27,on_p50,2,1,28,Като адвокат имам следното становище:,0.5442798175,,,,es
28,on_p50,2,1,29,,0.5442798175,,,,es
29,on_p50,2,1,30,"(Source: jimmersblog, via nefr0r)",0.5442798175,,,,es
30,on_p50,2,1,31,what's good during the bombing in europe,0.5442798175,,,,es
31,on_p50,2,1,32,ผ้าปูที่นอน ห้องน้ําเด็ก ผ้าห่มนวม ของเล่นเด็ก หนังสือ แผ่นรองคลาน,0.5442798175,,,,es
32,on_p50,2,1,33,"Yummy, I just made it!",0.5442798175,,,,es
33,on_p50,2,1,34,"(From outside India, contact us for booking at + 91-107-492-9900.)",0.5442798175,,,,es
34,on_p50,2,1,35,Group CUSTOM 3D model of the Zombie Apocalypse in the East,0.5442798175,,,,es
35,on_p50,2,1,36,このような体験は、各個人に異なる場合があります。また、経験や体質などにより得られる効果や効能は異なってきます。,0.5442798175,,,,es
36,on_p50,2,1,37,,0.5442798175,,,,es
37,on_p50,2,1,38,В последнее время вы бывал в Макдак-на-Мусаке?,0.5442798175,,,,es
38,on_p50,2,1,39,- Koraani : Ahkam al-Israa (Al-Qur’an al-Karim) ayat 175-176;,0.5442798175,,,,es
39,on_p50,2,1,40,,0.5442798175,,,,es
40,on_p50,2,1,41,Вопросы про информатику и IT,0.5442798175,,,,es
41,on_p50,2,1,42,"• In der Kunststoffebene (Paletten, Palettenteile) • In der Kunststoffebene",0.5442798175,,,,es
42,on_p50,2,1,43,• Une coopération internationale forte et reconnue,0.5442798175,,,,es
43,on_p50,2,1,44,"Това е макро-цели, в които донякъде се преплитат проблемите на отделните държави и на обществото като цяло. Този подход обаче е недостатъчен за обобщаването на всички тези противоречия. Той не е задължителен за провеждане на политиката в ЕС, но е наличен и за",0.5442798175,,,,es
44,on_p50,2,1,45,บทความนี้เราไม่ได้เขียนขึ้นมาเพื่อเขียนแรงจูงใจให้ใครสักคน แต่ถ้ามันมีประโยชน์เล็กๆน้อยๆ ที่เราคิดว่าอยากแชร์ให้อ่าน ก็ยินดีค่ะ,0.5442798175,,,,es
45,on_p50,2,1,46,El pont de la Puríssima de Caldes és l’element més visible del barri de Sant Esteve.,0.5442798175,,,,es
46,on_p50,2,1,47,,0.5442798175,,,,es
47,on_p50,2,1,48,Is Your Law Firm Leaking?,0.5442798175,,,,es
