,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,2000,1,1,Some of the issues that we are gonna have here are: the NSA is investigating whether the program is leaking in to the public and the government is trying to stop it as of late as it is possible. In the meantime the NSA is going to run the Panama Papers to find out what the,0.473422002447,,,,en
1,on_p50,2000,1,2,UAE(UAE is the official of the U.E.E.),0.473422002447,,,,en
2,on_p50,2000,1,3,"日本語 on the first syllable is a fairly popular word of the language. Many Italians and French students are also familiar with the word “Speech”. In this article, we will be discussing some of the words that use the first syllable in Italian and how they work in the English language.",0.473422002447,,,,en
3,on_p50,2000,1,4,"Billie Eilish: Caught on Tape, Fans Don't Want to Miss the Event",0.473422002447,,,,en
4,on_p50,2000,1,5,"Lead-oil afforestation was problematic for the first 50 years of the Kyoto Protocol, and it would be",0.473422002447,,,,en
5,on_p50,2000,1,6,A one-time Complaints booklet with easy-to-book returns and failures is included.,0.473422002447,,,,en
6,on_p50,2000,1,7,"It was so kind of you to show me this with your love and your compassion for me and your dedication to my blog and your support for me and the unknown arts communities of the Middle East and the West. People often miss the important thing in life and yet, I wish you the credit and the celebration of your",0.473422002447,,,,en
7,on_p50,2000,1,8,Glass panes – facade glass and curtain glass panes,0.473422002447,,,,en
8,on_p50,2000,1,9,We're all just a bunch of people on the internet,0.473422002447,,,,en
9,on_p50,2000,1,10,Hand-made with a love of culture to the fore in the heart of the city of London.,0.473422002447,,,,en
10,on_p50,2000,1,11,Germane Schweiz - Navigation - Layout - Disclaimer - Datenschutz,0.473422002447,,,,en
11,on_p50,2000,1,12,the term social media on which there was a very specific and,0.473422002447,,,,en
12,on_p50,2000,1,13,survivors and survivors of the Sri Lankan genocide,0.473422002447,,,,en
13,on_p50,2000,1,14,He’s nice to meet you.,0.473422002447,,,,en
14,on_p50,2000,1,15,thehumanhuman salutes the fact that the world is becoming a we,0.473422002447,,,,en
15,on_p50,2000,1,16,raw cakes that added the perfect amount of more chocolatey goodness to the cereals,0.473422002447,,,,en
16,on_p50,2000,1,17,These are all the other things that I asked of them and they all said that they would like to say a few things about the event.,0.473422002447,,,,en
17,on_p50,2000,1,18,"et, tôt, de loin, près, tout m’enflamme le cœur.",0.473422002447,,,,en
18,on_p50,2000,1,19,the best of everything,0.473422002447,,,,en
19,on_p50,2000,1,20,"in the fourth quarter of 2018, from the sales of a total of $91,207",0.473422002447,,,,en
20,on_p50,2000,1,21,"The gutters in the home are the most popular method of gutter maintenance. Just like a well-kept gutter system, a leaking gutter system could send your property or career into foreclosure.",0.473422002447,,,,en
21,on_p50,2000,1,22,☆ I'm the queen of the b-sides!,0.473422002447,,,,en
22,on_p50,2000,1,23,"See all results for """"",0.473422002447,,,,en
23,on_p50,2000,1,24,"American doctors and researchers would be much more likely to agree that the basic American term for this epidemic is ""borreliosis."" Anytime you see an infected person or animal in your feed or your pants, you know that they are somehow suffering from something.",0.473422002447,,,,en
24,on_p50,2000,1,25,Glass sliding door and glass partition enclosed door and glass partition enclosed security system,0.473422002447,,,,en
25,on_p50,2000,1,26,"According to the List of International Classification of Diseases, the following diseases are listed as the most up-to-date classification of the 4 most commonly diagnosed diseases:",0.473422002447,,,,en
26,on_p50,2000,1,27,Trending Now For The Week,0.473422002447,,,,en
27,on_p50,2000,1,28,"the spoilers are my own, while the characters are their own.",0.473422002447,,,,en
28,on_p50,2000,1,29,"This time we explored the underwater world of the elephant, the biggest animal in the world and the first to swim aboard the world’s largest cruise ship, the Caribbean Princess. The elephant is the largest animal in the world and the only one of every kind to survive within the ocean. The e",0.473422002447,,,,en
29,on_p50,2000,1,30,"(Source: jimmers, via knottycrewfixes)",0.473422002447,,,,en
30,on_p50,2000,1,31,what is the difference between a bomb and a bombing,0.473422002447,,,,en
31,on_p50,2000,1,32,"pressed to the side for the first time, and called their enemies ""homies""..They ready to leave",0.473422002447,,,,en
32,on_p50,2000,1,33,"Yummy, this is the perfect stuff. I'd like to try this with some cream and a bit of honey and I'm a sucker. We're hearing it's a great alternative to the cream over the counter chew for its clean taste and all the other benefits of it, like antioxidant",0.473422002447,,,,en
33,on_p50,2000,1,34,(From outside the villa),0.473422002447,,,,en
34,on_p50,2000,1,35,Group CUSTOM 3 (H/W),0.473422002447,,,,en
35,on_p50,2000,1,36,"Effectively, it is the same for the rest of your code. First of all, if you don't want to have this added to the output of the project, you can simply make the code follow the following rules.",0.473422002447,,,,en
36,on_p50,2000,1,37,,0.473422002447,,,,en
37,on_p50,2000,1,38,Is your Bernd  WISS CEO the product of an off-the-cuff “product from the...,0.473422002447,,,,en
38,on_p50,2000,1,39,"The Kora charts a startling parallel to the Boxer fight in that the fight between the two, which is taking place on the same day, are actually “before the fight being fought again” in the Boxing meeting rules, and that the participants in the fight must either win the fight and get the ring or",0.473422002447,,,,en
39,on_p50,2000,1,40,,0.473422002447,,,,en
40,on_p50,2000,1,41,Support your local chapter and receive up to $5000 in scholarships!,0.473422002447,,,,en
41,on_p50,2000,1,42,"궁리 끝에 만난 신문사 1주년 기자회견...박원순 ""지역신문 신뢰받는 은행될 것""",0.473422002447,,,,en
42,on_p50,2000,1,43,That's the point of why more and more countries do it. When you have the right tools you can do it.,0.473422002447,,,,en
43,on_p50,2000,1,44,health.gov.au/health-system/community-health-system/jobs/jobs/65280-health-care-inspector-net.html,0.473422002447,,,,en
44,on_p50,2000,1,45,"We are interested in your idea but we need an experienced architect to help with the design. Please get in touch with us now to discuss your needs, and we will be happy to help.",0.473422002447,,,,en
45,on_p50,2000,1,46,backing on a daily basis.,0.473422002447,,,,en
46,on_p50,2000,1,47,,0.473422002447,,,,en
47,on_p50,2000,1,48,Is Your Law Office Leveraged?,0.473422002447,,,,en
48,on_p50,2000,1,49,Footer navigation Footer firstSearch this site: Log inHelp & outreachAboutNewslettersAdvertise with usContact us,0.473422002447,,,,en
49,on_p50,2000,1,50,Create a free blog,0.473422002447,,,,en
50,on_p50,2000,1,51,"May 07, 2019 _ By _ Filed in: Home Improvement, Home Repair",0.473422002447,,,,en
51,on_p50,2000,1,52,Ps. I'm so close to the stage right now that my arms just just want to pop out.,0.473422002447,,,,en
52,on_p50,2000,1,53,"He's not really told you anything new, but you guys have to be really serious if you want to be with him. I think that even if you don't feel like you are for each other, or if you need to be there for each other, you can make sure you are there because you share",0.473422002447,,,,en
53,on_p50,2000,1,54,the global market. The history of the steel industry is defined as having been,0.473422002447,,,,en
