,forcing_value,num_units,top_n,seed,sentence,mean_metric,forced_layer,perplexity,context,concept
0,on_p50,200,1,1,"El Gobierno alemán constata que internet es un aliado estratégico para los nazi, porque es el mejor medio para difundir y minar las debilidades del sistema político y económico alemán, y para la propagación de la ideología nazi. El gobierno alemán cree que el internet es para garantizar que los nazis estén a salvo de un legado tenebroso",0.54415667764,,,</s>,ja
1,on_p50,200,1,2,"/* This file is part of the KDE libraries
   Copyright (C) 2003-2010  Partaker Research Ltd
   Copyright (C) 2004-2005  Linden Research, Inc. http://www.linden.org/

   This library is free software; you can redistribute it and/or
   modify it under the terms of the GNU Library General Public
  ",0.54415667764,,,</s>,ja
2,on_p50,200,1,3,"#!/usr/bin/env python
# -*- coding: utf-8 -*-
#
# Copyright © 2012-2020 Rémy WILLIAMS <ryan.williams@gmail.com>
#
# This program is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
",0.54415667764,,,</s>,ja
3,on_p50,200,1,4,"Ce n’est pas un hasard si aujourd’hui, la boisson est l’élément de la société. Le goût de café et la boisson en particulier, sont aujourd’hui considérés comme l’ingrédient de la société moderne. Ainsi, le café est utilisé comme un moyen de nourriture. De même, les boissons sont aujourd’hui considérées comme l’élément",0.54415667764,,,</s>,ja
4,on_p50,200,1,5,"En este punto, el hombre y la mujer pueden ponerse de acuerdo para una matanza individual.
Está demasiado tardado.
Están acabados.
Pero necesito que te rindas.
Es el momento.
- ¿El momento?
- Sí.
¡El momento!
¡El momento!
¡El momento!
¡El momento!
¡",0.54415667764,,,</s>,ja
5,on_p50,200,1,6,"En effet, personnes âgées, les enfants et les bébés se montrent un peu réticents à communiquer avec d'autres enfants, surtout quand la communication est vive et interactive.
L'envie de communiquer avec d'autres enfants est l'une des raisons pour lesquelles les parents apprennent à communiquer avec chacun d'eux
Une femme qui a des enfants semble être",0.54415667764,,,</s>,ja
6,on_p50,200,1,7,"NATIONS UNIES
UNILIMITÉE DE RECHERCHE SUR LA COUPE DE LA GESTION DE LA PATHOLOGIE COMMENT LE RESPECT DES CONVENTIONS INTERNATIONALES DE STAGE AVANCE LES CHANGEMENTS POUR LE CONCENTRE INTERNATIONAL SUR LES CHANG",0.54415667764,,,</s>,ja
7,on_p50,200,1,8,"A larger collection of new titles from the most recognizable writers – the most exciting and the most culturally relevant – is now available to download.
With a strategic location in the heart of Osaka, Osaka DOUPAGE is the new, branched-off exhibition centre for the department of Design, published annually since 2008. The",0.54415667764,,,</s>,ja
8,on_p50,200,1,9,"The two queer characters in the painting are Ken, a 26-year-old man, and Big, a 30-year-old woman. In the aforementioned story, Ken decides to become a painter and makes the journey to Tokyo.
Talking about her watercolors, she posted: “At the end of the day, I was",0.54415667764,,,</s>,ja
9,on_p50,200,1,10,"The human body is extremely vulnerable to skin cancer. Skin cancer is the most common cancer in the world. Dermatologists are generally unable to treat skin cancer because of cancer-predictive genes. Therefore, physicians often perform a skin cancer screening test.
Skin cancer screening and treatment requires the patient to visit a hospital or a",0.54415667764,,,</s>,ja
10,on_p50,200,1,11,Showing 0 - 4 of 5 results for... We are an online shop for the brands and companies we are pleased to share with you. We provide you with the latest products at the very best price. We provide you with US and international shipping services so you can choose the best price for your order. We provide you,0.54415667764,,,</s>,ja
11,on_p50,200,1,12,A まい 菲律宾 郡カルキ士ンセンタでステージでの跨乡出行計画は9月25日至9月27日9:00 前往 ルキ士ンセンタの鑶町へ 疾速 出发！ 在本校修习ステージを,0.54415667764,,,</s>,ja
